<<<<<<< HEAD
﻿idReserve;idHouse;idUser;name;checkIn;checkOut;numGuests;totalPrice....
1;1;2;Weekend Countryside Escape;2025-05-10;2025-05-12;2;225.98....
2;3;5;Tiny Home Summer Stay;2025-07-01;2025-07-07;3;983.94....
3;5;1;Rustic Tiny Vacation;2025-06-15;2025-06-18;1;317.97....
4;2;4;Group Countryside Retreat;2025-08-05;2025-08-12;5;1602.93....
5;4;6;Countryside Business Break;2025-05-20;2025-05-22;1;379.98....
....;;;;;;;
....;;;;;;;
....;;;;;;;
....;;;;;;;
....;;;;;;;
=======
﻿idReserve;idHouse;idUser;name;checkIn;checkOut;numGuests;totalPrice
1;1;2;Weekend Countryside Escape;10/05/2025;12/05/2025;2;225.98
2;3;5;Tiny Home Summer Stay;01/07/2025;07/07/2025;3;983.94
3;5;1;Rustic Tiny Vacation;15/06/2025;18/06/2025;1;317.97
4;2;4;Group Countryside Retreat;05/08/2025;12/08/2025;5;1602.93
5;4;6;Countryside Business Break;20/05/2025;22/05/2025;1;379.98
>>>>>>> 62e552e (Datos de csv cambiados 02)
